Epoch,Train Accuracy

0,0.890999972820282

1,0.921854555606842

2,0.9333272576332092

3,0.9412727355957031

4,0.9471818208694458

5,0.9508727192878723

6,0.9534363746643066

7,0.9581090807914734

8,0.959636390209198

9,0.9623273015022278

10,0.9630908966064453

11,0.9649090766906738

12,0.9661636352539062

13,0.967018187046051

14,0.9685999751091003

15,0.9699817895889282

16,0.9706181883811951

17,0.9716181755065918

18,0.972563624382019

19,0.9732909202575684

20,0.973800003528595

21,0.9748363494873047

22,0.9746000170707703

23,0.975745439529419

24,0.9756909012794495

25,0.9762545228004456

26,0.9772909283638

27,0.9777272939682007

28,0.9784181714057922

29,0.9779090881347656

30,0.9790727496147156

31,0.9793999791145325

32,0.9797454476356506

33,0.9798727035522461

34,0.9801818132400513

35,0.9805272817611694

36,0.9810181856155396

37,0.9812909364700317

38,0.9814000129699707

39,0.9818909168243408

40,0.9820727109909058

41,0.9820908904075623

42,0.9822545647621155

43,0.9828363656997681

44,0.9828000068664551

45,0.983054518699646

46,0.9834545254707336

47,0.9839454293251038

48,0.9839636087417603

49,0.9840182065963745

50,0.9845272898674011

51,0.9846545457839966

52,0.984818160533905

53,0.9846545457839966

54,0.9851090908050537

55,0.9854182004928589

56,0.9850909113883972

57,0.9856363534927368

58,0.9855999946594238

59,0.985872745513916

60,0.9861636161804199

61,0.9865999817848206

62,0.9864545464515686

63,0.9867818355560303

64,0.9869999885559082

65,0.9869454503059387

66,0.9869636297225952

67,0.9867818355560303

68,0.9872363805770874

69,0.9872909188270569

70,0.9874727129936218

71,0.9877272844314575

72,0.9877272844314575

73,0.9880545735359192

74,0.9883636236190796

75,0.9883818030357361

76,0.9882363677024841

77,0.9884545207023621

78,0.9886181950569153

79,0.9886181950569153

80,0.9885091185569763

81,0.9890727400779724

82,0.9886909127235413

83,0.9890909194946289

84,0.9892727136611938

85,0.9889636635780334

86,0.9893817901611328

87,0.9896363615989685

88,0.9898727536201477

89,0.9898909330368042

90,0.9899636507034302

91,0.9899636507034302

92,0.9898727536201477

93,0.9899636507034302

94,0.9904181957244873

95,0.9903636574745178

96,0.9903091192245483

97,0.9905818104743958

98,0.9905272722244263

99,0.990818202495575

100,0.9905636310577393

101,0.990781843662262

102,0.9909636378288269

103,0.9907454252243042

104,0.990818202495575

105,0.9910727143287659

106,0.9909454584121704

107,0.9911272525787354

108,0.9912909269332886

109,0.9912182092666626

110,0.991418182849884

111,0.991527259349823

112,0.9914363622665405

113,0.9916909337043762

114,0.991599977016449

115,0.991599977016449

116,0.9917818307876587

117,0.9915817975997925

118,0.9916727542877197

119,0.9918363690376282

120,0.9918727278709412

121,0.9919454455375671

122,0.9918909072875977

123,0.9920545220375061

124,0.9920545220375061

125,0.9921272993087769

126,0.9922000169754028

127,0.9923636317253113

128,0.9922545552253723

129,0.9922727346420288

130,0.9922727346420288

131,0.9926000237464905

132,0.9924363493919373

133,0.9923090934753418

134,0.9926363825798035

135,0.9925090670585632

136,0.9929636120796204

137,0.9927818179130554

138,0.9927272796630859

139,0.9927272796630859

140,0.9927818179130554

141,0.9928545355796814

142,0.9929636120796204

143,0.9928363561630249

144,0.9928727149963379

145,0.9930182099342346

146,0.9929272532463074

147,0.993218183517456

148,0.9931091070175171

149,0.9929817914962769

150,0.9930909276008606

151,0.9933817982673645

152,0.9931818246841431

153,0.9934545159339905

154,0.993436336517334

155,0.993399977684021

156,0.9936000108718872

157,0.9933454394340515

158,0.9936181902885437

159,0.9938545227050781

160,0.9938363432884216

161,0.9936000108718872

162,0.9937272667884827

163,0.9938727021217346

164,0.9938908815383911

165,0.9940000176429749

166,0.9938545227050781

167,0.9937999844551086

168,0.9941818118095398

169,0.9940727353096008

170,0.9941090941429138

171,0.9940000176429749

172,0.9941090941429138

173,0.9940909147262573

174,0.9941272735595703

175,0.9944000244140625

176,0.994454562664032

177,0.994381844997406

178,0.9944363832473755

179,0.994490921497345

180,0.994490921497345

181,0.9944727420806885

182,0.9946181774139404

183,0.994527280330658

184,0.9946181774139404

185,0.9947272539138794

186,0.9947454333305359

187,0.9946545362472534

188,0.9947090744972229

189,0.9948727488517761

190,0.9946727156639099

191,0.9946545362472534

192,0.9950181841850281

193,0.9948182106018066

194,0.9949454665184021

195,0.9951454401016235

196,0.9951090812683105

197,0.9951090812683105

198,0.995199978351593

199,0.9950545430183411

